name,x,y,y,r,p,y
200 -150,-1507.4302684652378,-362.02276539211,2060.1905772652945,3.1481318866308006,-0.025083693518770277,-0.05816842807562999
200 0,10.621932344193414,-370.53668888761314,2059.189824954268,-2.8201418814195693,0.019326052908771953,-0.03311281737855377
200 +150,1548.8888711010793,-379.4719088021236,2045.595902541906,3.1162318021741595,-0.023232463439377283,-0.04158894019720756
300 -150,-1502.5928194757278,-376.66370754810237,3113.587306398166,3.161044197023969,-0.014011404901738059,-0.07396429224628653
300 0,23.93293911847371,-379.4750842283412,3074.3106145178785,-3.302824582609422,0.013986195729172554,0.19208185996674662
300 +150,1577.5062607130976,-393.4469468137419,3104.858381624078,-3.12991627437969,0.02835291771087714,0.029535993147164326
400 -150,-1555.9555574628305,-404.0466705743599,4328.589972126563,-3.130592484486005,-0.001305878508384374,-0.03689611083421037
400 0,46.95170660181781,-395.31347321829924,4157.085378920363,3.1072319250799545,0.03393690212076135,-0.35459272767192596
400 +150,1595.8267812215615,-403.42452666925067,4140.815056640677,-3.1098794467490065,0.014562479605419109,-0.11808633790477892
500 -150,-1557.7717184173755,-419.07399247742177,5467.697808933982,-3.2832728880965774,0.04995980982888992,-0.34006767963430745
500 0,70.93970267990659,-418.7985120861854,5326.854216276069,-3.1131977814922878,0.00027396685293076773,0.0005091804295271764
500 +150,1644.4459153948826,-427.05661894265194,5294.836430684015,-3.1304653876515935,0.0009645346323225356,0.04139285958390101
